image_src,title,caption,photographer,tags,category,prize
000000.jpg,,The night sky with the blue stars in the back ground with the car light shown on the Po cable sign at Hoopers inlet at Allans beach ,James Gardner,youth,Youth,
000001.JPG,,"The beautiful night sky looking up into the milky way, stars shining due to the clear sky and no light zone, Hooper's Inlet, Otago Peninsula.",James Gardner,youth,Youth,
000002.JPG,,"View of Hereweka, Harbour Cone across Hoopers Inlet, looking for my first Aurora but will keep on trying. Clear night sky.",James Gardner,youth,Youth,
000003.JPG,,"Some rock formations just take on a life of their own.  This one, found near Middlemarch in North Otago, looks a lot like the Sphynx of Egypt which is quite apt as it is found near the derelict site of the Army training grounds. It is made from a metamorphic type of rock called schist which is formed under the ground by heat from magma, or the collision from tectonic plates.  All the great earthquake action that we have plus erosion brings these rocks to the surface where wind and rain erode them away again. You can see the layers where the rock was formed over time - and these layers contain white quartz and mica.",Jeanna Rodgers,amateur,Adult Amateur,
000004.jpg,,"Ileodictyon cibarium, or the basket fungi, is endemic to New Zealand. It gets its name from the shape as it looks like a basket once it forms from a ball. Apparently it is edible but is totally unappealing!",Adrienne Rodgers,amateur,Adult Amateur,
000005.JPG,,The rocks found at Elephant Rock in North Otago are limestone rocks that millions of years ago were sand at the bottom of the sea. The sediments were buried and the pressure makes them turn into limestone. Eventually they resurface and the rain and wind erodes them into the shapes we see. Limestone is soft and easy to carve so the wind has no problems making interesting shapes.  ,Jeanna Rodgers,amateur,Adult Amateur,
000006.JPG,,The Taieri Pet came to greet us when we were on the Otago Central Rail Trail. It happens when the winds are forced up and over the very flat tops of the surrounding hills.  Fortunately it stayed up high and we had finished our biking because it can be very dangerous if it happens at ground level due to the ferocity of the wind.,Jeanna Rodgers,amateur,Adult Amateur,
000007.JPG,,These fungi are growing quite happily at the edge of the beech forest. They have a symbiotic relationship with the trees as the trees provide them with the food they need (from leaves and roots) and the fungi help the plants to take up water. I've tried identifying these gorgeous chaps but I just love how they look like they are going to open their eyes and start a conversation.,Jeanna Rodgers,amateur,Adult Amateur,
000008.jpg,,This year we had a butterfly nursery on our front porch in Gore and were thrilled to have a lot of butterflies hatch. Here they are feeding off some honey water. This was the closest we could get to nectar and the butterflies need it for energy to fly.,Adrienne Rodgers,amateur,Adult Amateur,
000009.JPG,,A very snowy day in Fairlie caused the trees to be decorated like Christmas. Frost forms on objects that is at or below freezing point and it happens when there is a layer of warmer air above the cold air - water particles condense and we get the beauty of a clear frosty day!,Adrienne Rodgers,amateur,Adult Amateur,
000010.jpg,,"Cloud formation is all to do with water particles, air temperature and what the wind is doing to these. I believe this may well be called a Mackerel Sky created by Alto Cumulus clouds. This is because they look like the scales on a mackerel ",Adrienne Rodgers,amateur,Adult Amateur,
000011.JPG,,The sunlight refracts off the water particles and splits the light so that different colours can be seen. I was lucky to catch the rainbow at the same time as a sunrise.  We see red because most of the blue light has already been scattered through gas particles so the red remains and reflects off the clouds.,Samuel Rodgers-Foran,youth,Youth,
000012.JPG,,"When a caterpillar turns into a butterfly, it first digests itself and turns into a chrysalis. This is filled with a sort of caterpillar soup so if you cut a chrysalis, it would ooze out green slimy fluid. The caterpillar has special cells called imaginal discs survive the digestion and begin to form the new butterfly inside the chrysalis. When this process is complete, the butterfly emerges and has to dry the excess fluid off its wings before it can fly away. My grandparents had a butterfly nursery this year and this one was helped to become a butterfly by attaching the chrysalis to a cotton bud with tape. It worked :)",Samuel Rodgers-Foran,youth winner,Youth,Young Scientist
